excentricidad_orb;altura;sentido;geoestacionario;circular
28922128,81;30495753,83;positivo;False;
7619958,51;40385234,64;negativo;True;
97398660,37;54405661,71;positivo;False;
71144250,46;10065279,17;positivo;True;
6121787,97;32186430,21;positivo;True;
83334853,94;79146539,33;positivo;True;
81329898,38;99121014,21;positivo;True;
1271237,6;20098869,99;positivo;False;
72059592,4;99001809,85;positivo;True;
1676412,92;79245009,18;negativo;False;
86286510,85;27532167,81;negativo;True;
22894573,73;66848639,75;positivo;False;
77704476,87;70980751,54;negativo;True;
60564469,69;12870546,12;positivo;True;
63008917,76;21965278,59;positivo;True;
89511371,98;12880449,17;negativo;False;
54911324,08;19663168,2;negativo;False;
8822832,52;76978361,21;negativo;True;
26635367,96;77289822,29;negativo;False;
60600402,33;89452004,43;negativo;True;
61091337,23;89553774,29;positivo;False;
30209532,03;24681966,45;negativo;True;
65414271,99;20131367,83;negativo;True;
67194817,21;94308581,82;negativo;False;
41619487,26;19591870,38;negativo;False;
1077561,41;69536527,27;negativo;False;
59799799,77;17882316,12;positivo;False;
24824389,7;16521483,55;negativo;True;
25350123,87;81383996,2;negativo;True;
23534060,36;92099744,69;negativo;True;
32548942,13;39875724,79;positivo;False;
90555720,11;79739133,76;negativo;False;
68668584,44;17698821,43;positivo;True;
9992797,15;59142405,09;positivo;False;
30630276,06;47368650,06;negativo;False;
42944284,75;11932830,46;positivo;False;
91292839,42;8767858,19;positivo;True;
28295228,6;13585041,81;positivo;True;
92018730,94;64134529,72;negativo;True;
93677258,65;90184746,47;negativo;True;
54051330,08;16415626,75;negativo;False;
10972319,41;32937453,45;positivo;False;
4844757,91;36321386,55;positivo;True;
35295892,34;94627116,3;positivo;True;
63910061,86;34365603,31;negativo;True;
80948334,85;27039518,08;positivo;False;
71447718,37;78717851,71;positivo;False;
87769880,96;15098443,99;positivo;False;
22806812,54;99771336,17;negativo;False;
23678666,76;79969624,36;positivo;True;
56167622,22;72522573,53;negativo;True;
32560466,75;896330,93;positivo;True;
73983990,14;14181499,22;negativo;True;
30375039,18;87861263,06;positivo;False;
93055095,76;75409767,89;positivo;False;
37082764,72;55843340,8;negativo;True;
77548499,98;80478784,26;negativo;True;
4207135,95;10253851,82;positivo;True;
6963168,65;91555433,25;positivo;True;
30645856,36;75921581,47;positivo;False;
78053682,39;22940397,53;negativo;True;
14445729,45;11818904,95;negativo;False;
87126079,2;7587046,96;positivo;False;
7002472,66;89865566,07;positivo;False;
77684367,03;86950068,84;positivo;False;
88577122,62;20566538,75;positivo;False;
58354452,53;49537538,2;negativo;True;
13543380,17;83671862,54;positivo;True;
11424547,22;18244876,66;positivo;False;
30351235,22;48937450,96;positivo;True;
39331928,34;65410257,55;positivo;True;
75500249,85;89784224,97;positivo;False;
92786779,46;27902791,24;negativo;True;
15299433,57;49202830,45;positivo;False;
79288552,53;15908944,89;positivo;False;
31257524,21;81963156,1;positivo;False;
79971350,04;84311196,17;positivo;True;
85316954,4;21017571,77;positivo;True;
78865526,55;79159307,83;negativo;False;
11977130,69;52938440,4;positivo;True;
49802714,12;10809796,87;positivo;True;
72267735,49;82625699,96;positivo;True;
20659827,76;36025435,82;positivo;True;
80527115,14;8272295,63;negativo;False;
49340486,32;60891199,16;positivo;True;
87276724,87;93829543,57;negativo;False;
28074174,05;71883895,72;negativo;True;
37788315,63;35547873,33;positivo;True;
38934821,72;64184699,8;positivo;True;
64437326,27;10176314,01;positivo;True;
60060763,25;37658294,02;negativo;True;
6458474,37;1788779,76;positivo;False;
96247014,36;52360695,27;negativo;True;
6101181,73;83546310,37;negativo;True;
81114919,68;92085849,48;positivo;False;
535066,15;65462237,52;positivo;False;
41950076,49;21245391,84;negativo;True;
22368360,64;37847457,06;negativo;True;
11268090,48;34979824,75;negativo;True;
95142101,89;91492751,33;negativo;True;
16354854,48;35931224,14;negativo;True;
33593462,42;86557542,57;negativo;True;
83669715,09;22913550,32;negativo;False;
17192507,6;58543961,14;negativo;True;
1183201,01;15821392,59;negativo;True;
88538245,86;42927433,45;positivo;True;
82784892,03;67936750,85;negativo;True;
73586880,09;75998594,77;positivo;False;
25758801,98;36235091,81;positivo;True;
93284293,61;22751476,04;negativo;False;
30558845,6;94611999,6;positivo;False;
65364513,02;91682675,89;positivo;True;
6023410,33;19238903,08;positivo;True;
87552282,48;46823256,36;positivo;False;
23098038,57;34853186,85;positivo;True;
70398275,5;59428342,11;positivo;True;
63848648,33;85560024,44;negativo;False;
97513631,32;82804005,36;positivo;True;
57646759,68;36793592,21;positivo;False;
55587680,73;30682996,59;negativo;True;
55671547,15;75710020,32;positivo;True;
11826114,27;25708471,44;negativo;True;
49571127,91;35489602,36;negativo;True;
57452050,79;83477317,53;negativo;False;
83215100,46;31542010,45;positivo;True;
37665256,26;81551700,13;negativo;True;
92365973,82;20230688,12;negativo;True;
20932603,57;87318471,59;positivo;True;
51952125,41;17183837,61;negativo;False;
96339393,73;73365898,52;positivo;True;
98683775,53;27322485,93;negativo;False;
80048914,78;23388529,29;positivo;False;
20522976,47;58559454,94;negativo;False;
14892513,44;1240030,46;positivo;False;
93342019,55;5705841,95;negativo;False;
81708928,51;79755607,03;negativo;True;
89495561,83;70483042,86;positivo;False;
71647367,65;3069213,54;positivo;False;
26021806,89;86587291,97;positivo;True;
59518745,48;20508475,37;positivo;False;
2094633,37;17504826,43;negativo;True;
92806638,17;15588229,6;negativo;True;
48779759,86;48721891,33;negativo;True;
33840387,88;55749439,51;negativo;False;
39476321,39;31493790;negativo;False;
60009855,33;66857193,58;positivo;False;
97107985,88;48066609,9;positivo;False;
43207483,72;45580027,85;negativo;True;
77404947,77;58252078,6;negativo;True;
36044775,42;74921767,16;positivo;True;
75758682,4;46856459,81;positivo;True;
80172785,19;61930748,98;negativo;False;
75073965,88;26723508,41;negativo;False;
56173239,42;76151903,87;positivo;True;
35016555,95;40714973,85;positivo;True;
87770264,89;71168166,14;negativo;False;
43752097,8;83946665,09;negativo;False;
29251196,42;59560232,33;positivo;False;
75601591,79;45785969,17;negativo;True;
89668216,48;31526857,16;negativo;True;
53217661,77;10596029,28;positivo;True;
64390202,1;70957211,49;positivo;False;
84493882,99;23982652,81;negativo;True;
98531730,9;75323963,43;positivo;False;
68703977,14;24113460,65;positivo;True;
91749270,8;11696801,6;negativo;False;
42942558,19;80865131,7;positivo;False;
29012275,28;70068048,38;negativo;False;
43738480,63;7264147,95;negativo;True;
77187382,18;16511333,74;negativo;True;
10526003,71;86956550,71;negativo;False;
61388163,85;92550847,82;negativo;True;
26428572,66;23531567,04;negativo;True;
36239796,72;23199697,8;positivo;False;
72156802,12;43868078,31;positivo;True;
70614396,57;74821940,34;positivo;True;
83966396,36;14453495,04;negativo;False;
53868419,99;34646744,05;negativo;False;
11847113,33;60289159,64;positivo;False;
56195301,89;75571392,24;positivo;False;
98863953,11;77080236,33;positivo;False;
23737218,86;98283317,39;positivo;True;
18152076,73;66928036,92;negativo;False;
54176115,28;65227629,1;positivo;True;
32134047,51;34821842,33;positivo;False;
36706230,15;30284358,38;positivo;True;
14879996,52;41428987,94;negativo;True;
18462597,49;54794632,95;negativo;False;
98313328,83;71291377,9;positivo;False;
50944039,53;50583610,16;negativo;True;
1127016,34;76194639,77;positivo;True;
27788943,75;29628477,87;negativo;True;
48028394,33;52683238,13;negativo;True;
343798,52;64543954,34;negativo;False;
57438096,08;87591402,28;positivo;True;
12471751,03;7012503,99;positivo;True;
75819659,68;1582114,48;positivo;False;
77825797,66;40543280,66;negativo;True;
66468743,47;82030397,37;positivo;True;
34071146,7;80523771,06;positivo;True;
3845505,55;33810626,96;positivo;False;
16805239,33;46571990,48;negativo;True;
9463235,46;17086510,89;positivo;False;
89424228,03;78899498,41;positivo;True;
16313136,26;52370908,41;negativo;True;
31982767,15;47177934,53;positivo;True;
21045179,35;97185090,22;positivo;True;
6851989;68262337,67;positivo;False;
85521342,9;79150487,1;positivo;True;
83917533,19;79478215,73;negativo;True;
19915426,9;93765100,06;positivo;False;
28386979,1;96893892,37;positivo;True;
65485083,88;64816298,71;positivo;False;
58219018,99;64925381,69;negativo;True;
62421338,89;70381146,34;positivo;True;
28504772,17;89167422,92;negativo;True;
79462684,35;94993635,09;negativo;False;
56606182,56;46655366,77;positivo;True;
51968746,2;98358287,41;positivo;True;
44415098,77;46058588,74;positivo;True;
98048330,92;95744818,73;positivo;True;
95964673,8;50600210,07;negativo;False;
64705867,33;17519655,72;positivo;False;
78143641,64;96725704,04;negativo;False;
35165141,78;13198008,95;positivo;True;
41174253,68;75762950,06;positivo;False;
98082652,14;80869252,06;negativo;False;
12401582,9;27071038,94;positivo;False;
54312287,55;34501559,21;positivo;True;
43663113;43846700,84;negativo;True;
84923373,42;27668123,08;positivo;True;
15735244,56;29632027,07;positivo;False;
27962868,9;45847586;negativo;True;
67405048,12;62540113,09;negativo;True;
36672227,25;85554706,26;positivo;False;
72113830,03;2171710,18;negativo;True;
40357197,66;35595235,78;negativo;False;
80175679,65;22019934,12;negativo;True;
29434627,02;55696457,21;negativo;True;
78499240,47;98881817,66;positivo;True;
96779994,78;55501703,86;positivo;True;
61296709,95;9798383,11;positivo;True;
15169803,15;95718027,95;positivo;False;
30275505,39;40053492,52;positivo;True;
1784084,09;71634317,67;positivo;False;
18822132,77;98991942,29;negativo;True;
26453527,98;13419780,29;negativo;True;
27100088,81;37304289,4;negativo;False;
99434674,83;88632929,21;positivo;False;
23433637,26;21799547,82;positivo;False;
48204988,48;9244791,45;negativo;False;
46161397,41;76063407,04;negativo;True;
84406849,45;51795501,95;negativo;True;
4893096,4;99957227,84;positivo;True;
8338699,89;43558535,19;negativo;False;
19617762,98;51862579,39;negativo;True;
83329824,09;32291375,14;negativo;False;
90579167,57;1859970,48;negativo;True;
16412467,59;251401,44;negativo;False;
97699760,24;53153708,85;negativo;True;
17752864,77;52463150,56;positivo;True;
56353353,71;5436252,88;positivo;True;
77141438,61;59864784,23;negativo;True;
8418598,29;8564140,04;positivo;True;
26682614,05;23316189,34;positivo;False;
46747232,28;87654627,38;positivo;True;
90207579,09;67351041,73;positivo;True;
30689674,88;60650663,53;positivo;True;
52774547,21;59048554,2;positivo;True;
96685733,51;70482764,86;negativo;False;
17807117,35;26502542,26;positivo;True;
8580924,69;88240919,27;negativo;False;
46842046,68;96592197,97;positivo;True;
77463049,27;18509439,97;negativo;False;
47191822,52;42457239,77;negativo;False;
26224504,62;29630646,42;positivo;True;
52500710,55;97693090,72;negativo;True;
68002067,04;73986768,78;positivo;False;
72596028,01;17745120,46;positivo;False;
67497762,4;48176341,54;negativo;True;
22400613,46;75374464,18;positivo;False;
77814162,08;22706662,98;positivo;True;
46193303,54;41103615,7;negativo;False;
84497831,76;22190968,75;positivo;False;
36089817,99;49890342,39;negativo;True;
97760760,57;22550149,8;negativo;True;
90506898,58;81477287,61;positivo;True;
27144818,79;35982403,35;negativo;False;
28490952,95;33247359,66;positivo;True;
34388145,85;9075783,14;positivo;True;
28851729,83;80378852,51;negativo;False;
93266373,4;34048487,91;positivo;True;
37785913,31;62115214,97;positivo;True;
21425225,25;51038032,94;negativo;False;
31057305,2;64421687,86;positivo;False;
44955850,91;74534232,95;positivo;True;
89341668,75;68435710,22;positivo;True;
8882111,95;60576995,53;positivo;True;
78491040,38;62351469,14;positivo;True;
17283103,46;97005614,8;positivo;True;
80160289,45;6395530,14;positivo;False;
99565629,72;51824223,86;positivo;False;
69676289,66;29141755,86;negativo;True;
50359944,51;30072416,47;positivo;True;
69136729,88;94625374,39;negativo;False;
60340718,98;40717618,74;negativo;True;
54969470;70756916,21;positivo;False;
40599987,79;5160893,52;negativo;True;
15958123,32;68876805,53;negativo;True;
45337507,08;96607120,17;negativo;False;
3681320,33;55474977,08;negativo;True;
43786132,78;23704433,74;negativo;False;
8772775,47;5518064,43;positivo;True;
77338424,13;89235023,16;negativo;True;
17795984,7;80425666,29;positivo;False;
82964325,7;71443801,29;negativo;False;
72177935,98;99526234,35;negativo;True;
70946540,79;72899557,81;positivo;True;
63967709,5;62228301,89;positivo;False;
13825328,81;53549877,71;positivo;False;
51839915,54;17703490,84;positivo;False;
97412220,88;79485724,52;positivo;False;
18237896,82;71113875,12;positivo;True;
79066164,72;11440169,78;positivo;True;
38511864,75;21389816,25;negativo;False;
92359513,28;86599642,7;negativo;True;
50547453,32;95065392,21;negativo;True;
77244004,4;58535020,36;negativo;True;
56219004,12;8030932,03;positivo;True;
61335669,56;17298645,96;positivo;False;
3543530,29;31351643,16;positivo;False;
13011048,65;71524285,64;negativo;False;
47869364,65;9971999,18;negativo;False;
86855688,84;94486991,71;negativo;True;
94760842,63;48805838,02;positivo;False;
22149467,14;18791485,86;positivo;False;
60249456,98;54334395,27;negativo;True;
54869799,54;38986325,73;positivo;True;
91757212,12;14156385,25;positivo;True;
94633568,57;94947531,19;positivo;False;
61526241,28;86957690,71;negativo;True;
74759265,23;61211223,49;positivo;False;
60704247,27;40878819,34;positivo;False;
27450410,56;81333830,68;positivo;True;
53341648,39;9272640,67;positivo;False;
2125084,81;7733067,89;positivo;True;
712947,38;5043094,9;positivo;False;
85082425,6;60190003,8;negativo;False;
36173596,67;29084568,81;negativo;True;
89793500,56;14341137,55;negativo;True;
18765855,81;66995455,18;positivo;True;
79997258,94;15343424,41;positivo;True;
56253196,86;70728704,04;negativo;True;
29517338,96;33172171,58;negativo;True;
72761263,22;71790006,6;positivo;False;
2205755,02;44880846,49;positivo;False;
36923004,81;41759530,13;positivo;True;
86242451,42;35647750,39;positivo;False;
26713918,91;30295381,03;positivo;True;
91342512,83;45672430;positivo;False;
70766835,32;50783591,08;negativo;True;
70860743,79;7192410,15;negativo;True;
48697596,23;76507381,38;positivo;False;
50336985,23;61837461,43;negativo;False;
33627327,13;88183768,14;negativo;True;
97217523,52;94582697,01;positivo;True;
15369385,47;93950445,42;positivo;False;
69203579,46;9694903,08;positivo;False;
58570326,47;90874291,13;negativo;False;
50804212,35;20743447,71;positivo;False;
23110998,93;78823110,19;positivo;True;
86891914,52;76654738,43;negativo;False;
27851025,14;10447918,82;negativo;False;
95842255,93;55237492,77;negativo;False;
9186697,57;18766704,93;positivo;False;
73016343,14;91204274,61;negativo;False;
90135604,1;16082441,83;positivo;False;
86370708,8;36136525,01;positivo;False;
24122953,07;50222516,14;negativo;False;
69591638,13;42280097,31;negativo;True;
16769287,4;55138942,02;negativo;True;
60924655,27;96979737,02;negativo;True;
889316,86;91905842,12;negativo;True;
24292785,96;32982957,51;negativo;False;
4057267,28;14901496,48;negativo;True;
16267244,84;43551706,22;negativo;False;
37770417,93;43117644,41;negativo;False;
13890264,71;28789404,6;negativo;False;
83881053,56;20447691,58;positivo;True;
948463,46;79962902,19;positivo;True;
98186421,04;36004734,07;positivo;True;
26449804,63;14580879,3;negativo;False;
83967490,48;4739799,53;negativo;False;
46650172,32;62080893,37;positivo;False;
62390928,75;50906376,71;negativo;True;
43497146,56;2104022,08;positivo;True;
58247446,8;21467653,79;positivo;True;
13009164,58;39658654,97;negativo;True;
15447986,98;19862926,31;negativo;True;
84470844,38;43038922,9;positivo;False;
87962127,34;56018368,75;negativo;False;
29992756,84;41092096,02;negativo;True;
9452396,71;4732949,44;negativo;True;
13692315,93;31725863,45;positivo;True;
78338427,18;11578090,04;negativo;True;
83328737,84;98961708,63;positivo;True;
97630109;92475860,19;positivo;False;
72865051,83;56759777,4;positivo;False;
18914220,86;19334624,78;negativo;True;
35941508,77;37534531,75;negativo;True;
9588488,46;24853922,1;positivo;False;
26651912,04;65072827,3;negativo;True;
44780340,95;23475085,65;negativo;True;
72663913,82;36266974,33;positivo;False;
69012312,57;73486803,69;positivo;False;
77691987,52;29043838,31;positivo;False;
85810408,43;81625286,11;positivo;True;
26030945,56;93765847,8;positivo;False;
21779810,73;87527692,68;negativo;True;
15769960,29;16643243,28;positivo;True;
40862949,72;18871141,77;positivo;False;
11762564,5;92304605,9;positivo;True;
94655041,53;11207449,84;negativo;True;
38221285,67;56049059,23;negativo;True;
75193178,1;22696961,26;positivo;False;
93631306,74;86430385,37;negativo;True;
19373969,23;73656129,6;negativo;False;
9048749,88;69207903,55;positivo;True;
4747953,71;4695760,37;negativo;True;
4979672,1;35438182,91;positivo;False;
70846800,97;47031067,7;negativo;False;
85830563,33;46377019,41;negativo;True;
87622688,63;75812360,47;negativo;False;
92678993,44;38688809,96;negativo;False;
6229168,6;49670742,64;negativo;False;
86282193,73;12901349,33;positivo;True;
15927043,52;60750607,8;negativo;True;
81586528,42;69072458,97;negativo;False;
78825038,29;47366421,92;positivo;False;
97283467,62;78374580,51;negativo;False;
82708577,46;29467809,82;positivo;True;
49462645,29;25458597,96;positivo;False;
3561888,06;39906017,72;negativo;True;
67984032,23;23995652,45;negativo;True;
44777591,21;64324815,05;positivo;False;
47546078,32;79078551,82;negativo;False;
50313306,12;36508246,27;positivo;True;
16439839,25;91967781,19;negativo;True;
98049703,65;49599944,9;positivo;False;
40334407,48;94216811,79;negativo;True;
26877113,58;44127606,05;positivo;True;
87891811,18;55962448,9;negativo;True;
76450807,58;45691683,14;negativo;True;
82329263,95;17531108,43;negativo;False;
39234202,81;89997752,16;negativo;True;
32759522,63;31587960,04;negativo;False;
6429395,98;6736799,48;negativo;True;
92112017,87;17035362,91;positivo;True;
75707568,93;99186545,92;negativo;True;
14200678,23;3776497,66;negativo;False;
54797647,69;17297807,77;negativo;True;
76106142,51;27559942,11;negativo;True;
94781168,14;69688002,44;positivo;True;
69917553,68;4844730,47;negativo;False;
50132184,65;23550720,97;positivo;True;
12931526,4;42491552,68;negativo;False;
82303504,15;32885712,38;negativo;True;
95058361,51;72768184,27;positivo;True;
31622196,18;1193438,44;positivo;False;
90231047,95;36758089,31;positivo;False;
93478391,95;38666717,88;negativo;True;
63328661,59;56565503,09;negativo;False;
92605368,57;53199572,24;negativo;False;
18386666,25;49451516,02;positivo;True;
70334305;61127495,52;negativo;True;
81739135,38;40392636,84;positivo;False;
95754365,53;67968421,48;positivo;True;
35011384,41;43795400,16;positivo;False;
81549659,8;37857811,23;negativo;False;
22581625,29;63371771,52;negativo;False;
6524362,02;63872305,35;positivo;True;
27433814,81;19775095,88;positivo;True;
74470309,73;75270919,63;negativo;False;
97120471,24;12052946,17;positivo;False;
27463776,98;75441937,67;positivo;True;
99659500,8;50604896,62;positivo;False;
28057410,32;88711540,55;positivo;True;
88440906,13;60022208,59;negativo;True;
98051771,45;28360130,21;positivo;False;
99083436,93;66085689,59;positivo;False;
82063570,29;21761705,74;negativo;True;
37357972,25;25889488,78;negativo;False;
54591384,81;38337031,61;negativo;True;
65980808,12;2190208,27;positivo;True;
23699339,03;54112116,08;negativo;True;
98931301,8;61790635,08;negativo;False;
87452556,37;22370956,32;negativo;True;
85217742,58;7315689,16;positivo;True;
1163846,39;51376229,95;negativo;False;
23551748,38;95696048,1;positivo;True;
6209727,76;45098938,14;negativo;False;
6933281,37;62067854,51;positivo;True;
14829886,19;8070920,03;positivo;True;
72126893,23;85895014,61;positivo;True;
15136369,41;31346046,46;positivo;False;
86251871,3;75759794,1;negativo;False;
24652925,61;78235817,82;positivo;False;
31294922,16;67348071,71;negativo;False;
70993035,89;16702744,5;positivo;False;
99074973,07;77635853,11;positivo;True;
52990955,79;99056924,63;negativo;True;
22239410,11;85759138,01;negativo;False;
96628724,45;14102131,04;negativo;True;
53921474,5;53394465,51;positivo;True;
98264468,04;31793679,92;positivo;False;
51040464,94;16671919,37;negativo;True;
40678054,25;52597150,6;negativo;True;
